,intent_loss,intent_acc,set
0,3.264764075313867,0.2452014525435941,train
1,2.0924578028049434,0.5115458628089861,valid
2,1.2434043014995702,0.6625453917064531,train
3,1.385004795729311,0.7084669658126855,valid
4,0.7055825884420938,0.8180874979003334,train
5,0.9779917202827791,0.7851186658496502,valid
6,0.5093885241609408,0.8697907660899228,train
7,1.090894049601038,0.7847979473639483,valid
8,0.39696484953860767,0.8953830192148036,train
9,1.0923429772477642,0.8094932651428017,valid
10,0.3217876375381167,0.915139201189147,train
11,1.0552243984533167,0.8094932644928473,valid
12,0.2732103357013278,0.9272004150301244,train
13,0.8106273521285091,0.8370750478401331,valid
14,0.2510783878418683,0.9328203355278624,train
15,0.892759468633445,0.8290570875327506,valid
16,0.21377370906560536,0.9430226526642967,train
17,0.9390624318847755,0.8306606803053537,valid
18,0.21557075585045865,0.9434117240702098,train
19,0.8327382658443977,0.8396407950375614,valid
20,0.19399016251948267,0.9482102715266157,train
21,0.6943565517415443,0.8717126366111848,valid
22,0.16779625870335088,0.9540031125919435,train
23,0.9290829507718872,0.8592046181539299,valid
24,0.15589222425864516,0.956942763292272,train
25,1.0062734634926718,0.8425272607971568,valid
26,0.18515699489366508,0.9502420889430447,train
27,1.079197666196199,0.8287363698499336,valid
28,0.16636989553370898,0.9553432474700344,train
29,0.8832403711587515,0.8505452210280741,valid
30,0.15126735443024203,0.9574615252217928,train
31,0.9893707710630699,0.8540731241031668,valid
32,0.15755451630756515,0.9577641363232973,train
33,0.888176955650677,0.8617703651984278,valid
34,0.15942829426074603,0.9572886045305204,train
35,1.100763106590819,0.8502245032687918,valid
36,0.13576078811989262,0.9625194535914248,train
37,0.9371723259313509,0.8550352786809226,valid
38,0.13299693778149504,0.963946048804845,train
39,0.9721152286945511,0.8348300196254307,valid
40,0.18840246742275502,0.949907724771844,valid
